Country	6_1_1	6_2_1	6_2_2	6_2_3	6_3_1	6_3_2	6_3_3	6_1_1_outliers_adjusted	6_2_1_outliers_adjusted	6_2_2_outliers_adjusted	6_2_3_outliers_adjusted	6_3_1_outliers_adjusted	6_3_2_outliers_adjusted	6_3_3_outliers_adjusted	6_1_1_normalised	6_2_1_normalised	6_2_2_normalised	6_2_3_normalised	6_3_1_normalised	6_3_2_normalised	6_3_3_normalised	ASN	TFSS	TWAR	Tot_Alignment	Ranking
Australia					17.6		68.5		0.00	0.00	0.00	17.57		68.53					0.083969602		0.835528176			0.459748889		
Austria	52.4				-29.1	-32.6	62.1	52.40	0.00	0.00	0.00	-29.08	-32.60	62.08	0.235632184				0.724921419	0.333901666	0.672428481	0.235632184		0.577083855	0.40635802	17
Belgium	75.9				-34.1	-40.8	59.7	75.90	0.00	0.00	0.00	-34.12	-40.75	59.71	0.685823755				0.794232297	0.603920924	0.612349641	0.685823755		0.670167621	0.677995688	5
Canada					-16.6	-30.9	66.8		0.00	0.00	0.00	-16.55	-30.94	66.84					0.55282148	0.279077986	0.792853222			0.54158423		
Switzerland									0.00	0.00	0.00															
Chile					15.5	-36.2	47.9		0.00	0.00	0.00	15.50	-36.19	47.93					0.112475425	0.45286532	0.314031065			0.293123937		
Czechia	71.3				1.2	-25.3	65.3	71.30	0.00	0.00	0.00	1.22	-25.33	65.31	0.597701149				0.308668144	0.093300982	0.754132153	0.597701149		0.385367093	0.491534121	12
Germany	62.8				23.7	-30.3	68.5	62.80	0.00	0.00	0.00	23.69	-30.35	68.53	0.4348659				0	0.259353345	0.835584455	0.4348659		0.364979267	0.399922584	18
Denmark	85				-22.8	-22.8	73.5	85.00	0.00	0.00	0.00	-22.78	-22.76	73.47	0.860153257				0.638386078	0.00821077	0.960534324	0.860153257		0.535710391	0.697931824	2
Spain	63.2				-24.3	-27.9	58.1	63.20	0.00	0.00	0.00	-24.29	-27.86	58.07	0.442528736				0.659117438	0.176869192	0.570912229	0.442528736		0.468966286	0.455747511	14
Estonia	61.1				-31.8	-33.7	58.7	61.10	0.00	0.00	0.00	-31.80	-33.67	58.69	0.402298851				0.762366207	0.369346166	0.58658247	0.402298851		0.572764948	0.487531899	13
Finland	78.6				-25.0	-28.7	75.0	78.60	0.00	0.00	0.00	-25.01	-28.71	75.02	0.737547893				0.669082036	0.204999098	1	0.737547893		0.624693711	0.681120802	3
France	68.4				-2.4	-33.0	47.9	68.40	0.00	0.00	0.00	-2.43	-33.04	47.93	0.542145594				0.358759018	0.348496013	0.314103564	0.542145594		0.340452865	0.441299229	15
United Kingdom	92.3				-22.6	-33.1	71.4	92.30	0.00	0.00	0.00	-22.61	-33.15	71.39	1				0.636073369	0.352083182	0.908062245	1		0.632072932	0.816036466	1
Greece	64.3					-47.4	35.5	64.30	0.00	0.00	0.00		-47.38	35.52	0.463601533					0.823334087	0	0.463601533		0.411667043	0.437634288	16
Hungary	91.8							91.80	0.00	0.00	0.00				0.990421456							0.990421456				
Ireland	75.7				-11.6	-31.9	64.9	75.70	0.00	0.00	0.00	-11.57	-31.94	64.94	0.681992337				0.484405277	0.31203566	0.744590925	0.681992337		0.513677287	0.597834812	6
Israel					-49.1	-41.2	55.7		0.00	0.00	0.00	-49.10	-41.21	55.66					1	0.619100975	0.509899274			0.70966675		
Italy	81.2				-45.2	-41.5	41.1	81.20	0.00	0.00	0.00	-45.24	-41.51	41.08	0.787356322				0.946970664	0.629217555	0.140686574	0.787356322		0.572291598	0.67982396	4
Japan						-40.4	50.8		0.00	0.00	0.00		-40.38	50.85						0.59180215	0.387987733			0.489894941		
Republic of Korea									0.00	0.00	0.00															
Lithuania	62.5					-52.7	52.9	62.50	0.00	0.00	0.00		-52.71	52.88	0.429118774					1	0.439482544	0.429118774		0.719741272	0.574430023	7
Luxembourg	72.5							72.50	0.00	0.00	0.00				0.620689655							0.620689655				
Latvia	46.6							46.60	0.00	0.00	0.00				0.124521073							0.124521073				
Netherlands	71.3				-17.3	-24.2	75.0	71.30	0.00	0.00	0.00	-17.33	-24.24	75.00	0.597701149				0.56347738	0.057052348	0.999449127	0.597701149		0.539992952	0.568847051	8
Norway	70.9				-8.1	-22.5	70.7	70.90	0.00	0.00	0.00	-8.09	-22.52	70.74	0.590038314				0.436593816	0	0.891593531	0.590038314		0.442729116	0.516383715	11
New Zealand						-25.0	72.7		0.00	0.00	0.00		-25.00	72.68						0.08233822	0.940642833			0.511490527		
Poland	40.1				-33.3	-41.8	54.8	40.10	0.00	0.00	0.00	-33.31	-41.75	54.85	0				0.783080431	0.637038299	0.489203728	0		0.636440819	0.31822041	19
Portugal	79.3							79.30	0.00	0.00	0.00				0.750957854							0.750957854				
Slovakia	54							54.00	0.00	0.00	0.00				0.266283525							0.266283525				
Slovenia	71.4				-29.1	-31.4	58.5	71.40	0.00	0.00	0.00	-29.10	-31.41	58.53	0.599616858				0.725195434	0.294424353	0.582531114	0.599616858		0.5340503	0.566833579	10
Sweden	72.9				-19.7	-28.1	65.0	72.90	0.00	0.00	0.00	-19.68	-28.12	64.95	0.62835249				0.595824615	0.18557027	0.745065602	0.62835249		0.508820162	0.568586326	9
Turkey					-10.6	-34.1	44.4		0.00	0.00	0.00	-10.59	-34.10	44.39					0.470915529	0.383743008	0.224571711			0.359743416		
United States of America						-30.5	66.0		0.00	0.00	0.00		-30.50	65.99						0.264359174	0.771178597			0.517768886		
