Country	Urgency	Financing	Participation	Inclusiveness	Quality	Alignment	Flexiguidance
Australia	0.220512147	0.427791037	0.594392608	0.53299741	0.499980971	0.68696864	0.365486604
Austria	0.350214642	0.595142468	0.552963036	0.615895066	0.458894645	0.467463776	0.564946919
Belgium	0.374695899	0.55006896	0.512100257	0.488282511	0.455294429	0.548506823	0.29718483
Canada	0.260917264	0.565549353	0.73474248	0.454929126	0.534185281	0.66863956	0.428947324
Switzerland	0.491189164	0.378642718			0.541196894		0.514617916
Chile	0.443284317		0.601672276	0.345769655	0.847013116		0.573088603
Czech Republic	0.379708895	0.378190629	0.701656644	0.405921574	0.598519303	0.515742963	0.374925275
Germany	0.416458682	0.473930168	0.481332112	0.375217649	0.376951462	0.417371644	0.309212269
Denmark	0.27256235	0.59088505	0.55773912	0.628431908	0.492142795	0.809726573	0.689891739
Spain	0.623213409	0.542998022	0.66354172	0.426289843	0.588440144	0.570301034	0.640706857
Estonia	0.430965429	0.382562904	0.469573813	0.450471493	0.528621462	0.440544941	0.453746773
Finland	0.260266549	0.58282047	0.548607954	0.399319804	0.484831678	0.58780405	0.502926906
France	0.383559333	0.470679436	0.471874487	0.550685902	0.432899758	0.679744651	0.508500679
United Kingdom	0.315435459	0.403399788	0.493441513	0.484199932	0.593596376	0.696767283	0.493640998
Greece	0.583093001	0.374444691	0.215293851	0.823606729	0.46874445	0.569256722	0.231590428
Hungary	0.579296375	0.141107345	0.105664488		0.746534438	0.690332859	0.092832228
Ireland	0.502513245	0.369520875	0.510970409	0.487690341	0.588194332	0.684909877	0.372997052
Israel	0.370441681	0.169439501	0.683277084	0.585616991	0.247533205	0.513574873	0.454323752
Italy	0.522903052	0.414401603	0.591960336	0.593842059	0.539195803	0.575569608	0.450077876
Japan	0.481898178	0.781739156	0.431052683	0.439957898	0.235291692	0.152000259	0.098936728
Korea	0.472458387	0.73238659	0.340324669	0.415982015	0.250736441		0.591067313
Lithuania	0.625240714	0.28441597	0.313055636	0.570802792	0.693776488	0.438282827	0.4113271
Luxembourg	0.484279802	0.610090983	0.442838715		0.668321794	0.666029333	0.782811447
Latvia	0.58785611	0.205764655			0.718440437	0.293794016	0.390742409
Netherlands	0.311914763	0.495330494	0.547844077	0.319704877	0.188802847	0.661699548	0.706375251
Norway	0.177685351	0.44987348	0.653226268	0.584972775	0.459278341	0.715325609	0.519453379
New Zealand	0.147570469	0.432362883	0.650011898	0.608901175	0.50465751	0.664412069	0.443000979
Poland	0.51143948	0.359131714	0.305979963	0.454599989	0.716229133	0.250833592	0.458208588
Portugal	0.64364736	0.254809712	0.62384559		0.737719348	0.702791235	0.424169997
Slovak Republic	0.469558339	0.333875038	0.449402273	0.326060693	0.550917147	0.484288644	0.354391364
Slovenia	0.535439452	0.278734484	0.517065109	0.648931652	0.505108753	0.683540919	0.402990189
Sweden	0.259984819	0.414634555	0.654506157	0.592529328	0.309383964	0.494503459	0.705879899
Turkey	0.492564477		0.233050659	0.550946088	0.480525487	0.78832125	0.147946962
United States	0.227062399	0.521061979	0.750576505	0.47734118	0.493207354	0.561984844	0.571291718
